address,name,image,latitude,longitude,phone,Ranking,url,website
"1572-2 ??? Gwangsan-gu, Gwangju, South Korea",Shopping mall,https://lh5.googleusercontent.com/p/AF1QipMy5U8QYHDDe74QLDTDPTgltDbjc7LF5_V_QCRd=w1920-h1080-k-no,35.165835,126.8065272,+82 62-952-5324,16,https://www.google.com/maps/search/?api=1&query=%EC%9A%B0%EB%AF%B8%EC%87%BC%ED%95%91&query_place_id=ChIJ2YooL8GIcTURUas3Sr-w7J4,
"South Korea, ??? 628-1?? ??2? ?? 2? 201? ??? ????? KR",Shopping mall,,35.2201561,126.8187552,,18,https://www.google.com/maps/search/?api=1&query=OK%EC%8B%A4%EB%B2%84%EB%AA%B0&query_place_id=ChIJMRW7va6PcTURN3a_NPEK_-c,
"14-1 Wolgok-ro, Gwangsan-gu, Gwangju, South Korea",Shopping mall,,35.1688021,126.8107079,+82 10-9035-6055,17,https://www.google.com/maps/search/?api=1&query=%EB%A6%B0%EC%95%84%EC%BF%A0%EC%95%84&query_place_id=ChIJE8bSsrmJcTURdFtDlzyyLcM,
"114 Uchi-ro, Buk-gu, Gwangju, South Korea",Cosmetics store,https://lh5.googleusercontent.com/p/AF1QipNsLy2Mg782VdUNLTJs2uU_02ecjzHx8EVpEzBJ=w1920-h1080-k-no,35.177605,126.9124049,+82 62-267-5090,91,https://www.google.com/maps/search/?api=1&query=Olive%20Young&query_place_id=ChIJcTcKQP-McTURnP7IBKWjJjU,http://www.oliveyoung.co.kr/
"3 Hyosan-ro, ??? Buk-gu, Gwangju, South Korea",Coffee shop,https://lh5.googleusercontent.com/p/AF1QipNKpVXGY58cVk9a5lF2LoGBkr53oVP6FgRXVA8R=w1920-h1080-k-no,35.1808576,126.9123208,,88,https://www.google.com/maps/search/?api=1&query=HB%20COFFEE&query_place_id=ChIJy0EUu0uNcTURtMVARENCWIc,
"South Korea, ??? 160-4?? 1? ?? ????? KR",Watch store,,35.1761897,126.9129582,,89,https://www.google.com/maps/search/?api=1&query=SOVO&query_place_id=ChIJtRMezfiMcTURGJBczq1XeMg,
"South Korea, Gwangju, Buk-gu, Yongbong-dong, ?? 1? 693-6",Tire shop,,35.1723949,126.897213,+82 61-527-5989,90,https://www.google.com/maps/search/?api=1&query=%EB%84%A5%EC%84%BC%ED%83%80%EC%9D%B4%EC%96%B4(%EC%A3%BC)%ED%83%80%EC%9D%B4%EC%96%B4%ED%85%8C%ED%81%AC%EC%A0%84%EB%82%A8%EB%8C%80%EC%A0%90%EC%A7%81%EC%98%81%EC%A0%90&query_place_id=ChIJrc-TeESMcTURLZFFMUgqsko,
"160-22 Yongbong-dong, Buk-gu, Gwangju, South Korea",Cosmetics store,https://lh5.googleusercontent.com/p/AF1QipN9MaSkD9RM1jiPAQQ-ai4920jzaAZiHTuXE52-=w1920-h1080-k-no,35.1755445,126.9127617,+82 62-268-7891,86,https://www.google.com/maps/search/?api=1&query=The%20Face%20Shop&query_place_id=ChIJLTqZxviMcTUR-drsFkuLkBM,http://www.thefaceshop.com/
"410 Mudeung-ro, Dong-gu, Gwangju, South Korea",Shopping mall,,35.1591206,126.9269623,+82 70-7635-1500,85,https://www.google.com/maps/search/?api=1&query=%EB%9F%AC%EB%B8%94%EB%A6%AC%EB%B2%A0%EC%9D%B4%EB%B9%84&query_place_id=ChIJ7avmg-yMcTUREyjnpXy9k8k,http://www.xn--vl2b25a22dqxb6g171c.com/
"64-1, Yongju-ro 30beon-gil, Buk-gu, Gwangju, South Korea",Coffee shop,https://lh5.googleusercontent.com/p/AF1QipPB3gKr5SBlOWXxfgJi0YIjji-IiwOCOIe9yXgs=w1920-h1080-k-no,35.1806604,126.9043484,,87,https://www.google.com/maps/search/?api=1&query=ALIBABA%20COFFEE%20%26%20DONUT&query_place_id=ChIJAcnSv1OMcTURdF3tGbsPTbQ,http://alibabadonut.com/
"518-1 Gyerim-dong, Dong-gu, Gwangju, South Korea",Shopping mall,https://lh5.googleusercontent.com/p/AF1QipOpREJUgKgD0ovdcc7HoShE1plyl_M1xzrlc4km=w1920-h1080-k-no,35.1601854,126.9267607,+82 62-511-1174,83,https://www.google.com/maps/search/?api=1&query=%ED%98%84%EB%8C%80OA%EC%8B%9C%EC%8A%A4%ED%85%9C&query_place_id=ChIJ4QPzcOyMcTURPfdW1pJHWXY,
"South Korea, ??? 916-4?? 1? ?? ????? KR",Store,,35.1713884,126.9364647,+82 62-413-2528,82,https://www.google.com/maps/search/?api=1&query=MUMU&query_place_id=ChIJtVL-FN-McTURh681s9ncFrY,
"Gwangju, South Korea",Shopping mall,,35.1681064,126.9335237,,84,https://www.google.com/maps/search/?api=1&query=%EC%97%AC%EC%9A%B8%EB%AF%B8%EB%B0%A9&query_place_id=ChIJOV4g7N2McTURDsG5Q61xxJg,
"South Korea, ??? 9-13?? ?? ????? KR",Shopping mall,,35.1622791,126.9064028,+82 62-521-0016,78,https://www.google.com/maps/search/?api=1&query=Hyeseongjang&query_place_id=ChIJVYIH2mCMcTURybsVOP2NlcM,
"South Korea, Gwangju, Buk-gu, Gakhwa-dong, 529?? ????",Shopping mall,,35.1794559,126.9338027,+82 62-511-1094,80,https://www.google.com/maps/search/?api=1&query=%EC%86%8C%EB%8B%B4%EC%82%B0%EC%97%85&query_place_id=ChIJl7sAFSKNcTURlKgMIU6aZRw,
"286-5 ??3? Buk-gu, Gwangju, South Korea",Shopping mall,https://lh5.googleusercontent.com/p/AF1QipNgA66ShNQ1dG7V2bbJygmWcYTas2wZlWEPz6kI=w1920-h1080-k-no,35.1729379,126.9163762,+82 62-511-1072,81,https://www.google.com/maps/search/?api=1&query=BOB%EC%95%A0%EC%99%84%EC%9A%A9%ED%92%88%EC%95%84%EC%9A%B8%EB%A0%9B%EC%A4%91%ED%9D%A5%EC%A0%90&query_place_id=ChIJtaZufvmMcTURRBhXFFPlebw,
"1412-4 ??? Buk-gu, Gwangju, South Korea",Shopping mall,https://lh5.googleusercontent.com/p/AF1QipNolaSRXmyH4tvXA_HBVEOFbDyK4ouiczrq3p0H=w1920-h1080-k-no,35.1748776,126.8957077,+82 62-522-8589,77,https://www.google.com/maps/search/?api=1&query=%EC%BD%94%EC%98%A4%EB%A1%B1%20%EC%A7%80%EC%98%A4%ED%88%AC%20%EA%B4%91%EC%A3%BC%EC%9A%A9%EB%B4%89%EC%A0%90&query_place_id=ChIJLffpMUSMcTURz1vjdohSS20,
"699-2 Jungheung-dong, Buk-gu, Gwangju, South Korea",Shopping mall,,35.164324,126.909984,+82 62-524-5518,79,https://www.google.com/maps/search/?api=1&query=%EA%B4%91%EC%A3%BC%EC%86%8C%EB%B9%84%EC%A1%B0%ED%95%A9&query_place_id=ChIJ-T7qlF-McTURm20NSacT7AQ,
"1033 103 Daedeok-gu, Daejeon, South Korea",Shopping mall,,35.1831737,126.9223567,,74,https://www.google.com/maps/search/?api=1&query=%EB%A6%AC%ED%8B%80%20%ED%86%A0%EC%9D%B4&query_place_id=ChIJN4cBW4eNcTUR1djOuzVHIA4,
"South Korea, ??? 853-6?? ?? ????? KR",Shopping mall,,35.1809385,126.8925963,+82 62-268-5555,73,https://www.google.com/maps/search/?api=1&query=%EC%83%B9%EC%A0%A4%EB%A6%AC%EC%A0%9C%EC%BD%94%EB%A6%AC%EC%95%84(%EC%A3%BC)&query_place_id=ChIJbbmG_kiMcTUR4UbhrB52nB0,
"1238-28 ??? Buk-gu, Gwangju, South Korea",Shopping mall,,35.1792383,126.901096,+82 62-527-3342,76,https://www.google.com/maps/search/?api=1&query=%EC%8A%A4%EC%BF%A8%EB%B2%84%EC%8A%A4&query_place_id=ChIJ91O8wlGMcTURvspP5kyBB84,
"553-5 ??? Buk-gu, Gwangju, South Korea",Coffee shop,https://lh5.googleusercontent.com/p/AF1QipPyC0Fm4d0KhAWG2TMzHBF_pTtqqlCokdcwy0YW=w1920-h1080-k-no,35.1771856,126.9020523,,75,https://www.google.com/maps/search/?api=1&query=BIGS%20COFFEE&query_place_id=ChIJ2eJTT1CMcTURcQIvUpcC8WI,
"94 Biennale-ro, Buk-gu, Gwangju, South Korea",Shopping mall,,35.1796865,126.8911212,+82 62-511-3433,72,https://www.google.com/maps/search/?api=1&query=%ED%95%98%EC%B9%B4%EC%A0%84%EC%9E%90%EB%8B%B4%EB%B0%B0%EC%9A%A9%EB%B4%89%EC%A0%90&query_place_id=ChIJWdcqTgKNcTUR8OpEA0D1gcI,https://shopping-center-28665.business.site/?utm_source=gmb&utm_medium=referral
"172 Seoam-daero, Sinan-dong, Buk-gu, Gwangju, South Korea",Shopping mall,https://lh5.googleusercontent.com/p/AF1QipOSPqfQkS68G_fIgyHQ5gXYYpiwmzoOtaaPskTr=w1920-h1080-k-no,35.168722,126.9029034,+82 62-524-0747,71,https://www.google.com/maps/search/?api=1&query=%EB%82%98%EC%82%AC%EB%AA%A8%ED%84%B0%EC%8A%A4%20%EC%88%98%EC%9E%85%EB%B0%94%EC%9D%B4%ED%81%AC%20%EC%A0%84%EB%AC%B8%EB%A7%A4&query_place_id=ChIJqatkZl6NcTURpacpwFTU-iA,
"642-12 Jungheung-dong, Buk-gu, Gwangju, South Korea",Shopping mall,,35.1627961,126.9156228,+82 62-531-3377,70,https://www.google.com/maps/search/?api=1&query=%EB%B9%84%EC%98%A4%ED%8B%B0%EC%8A%A4%EC%BD%94%EB%A6%AC%EC%95%84&query_place_id=ChIJt-TLkfSMcTUR_nkmrBPiWhs,
"6-1 Sinan-dong, Buk-gu, Gwangju, South Korea",Shopping mall,,35.1617405,126.9073458,+82 62-525-2541,69,https://www.google.com/maps/search/?api=1&query=%EB%B9%88%ED%8F%B4%20%ED%98%84%EB%8C%80%EA%B4%91%EC%A3%BC&query_place_id=ChIJFYCZ4WCMcTURvuXj8eDe82o,
"South Korea, Gwangju, Dong-gu, Gyerim-dong, ?? 1? 521-5 1?",Shopping mall,,35.1583607,126.9261392,,68,https://www.google.com/maps/search/?api=1&query=Kingkong&query_place_id=ChIJMcXyvuyMcTURd6p-wzc-Qis,
"592-1 ??? Buk-gu, Gwangju, South Korea",Shopping mall,,35.1807722,126.9198416,,67,https://www.google.com/maps/search/?api=1&query=%EB%94%94%EC%9E%90%EC%9D%B8%ED%8D%BC%ED%93%B8&query_place_id=ChIJARlhlRCNcTUR-Svq-Rm2ZT0,
"Gwangju, South Korea",Shopping mall,,35.1763211,126.91294,+82 62-447-2006,66,https://www.google.com/maps/search/?api=1&query=%EC%9C%BC%EB%9C%B8%ED%94%8C%EB%9F%AC%EC%8A%A4%20%EC%95%88%EA%B2%BD%EC%A0%84%EB%8C%80%EC%A0%90&query_place_id=ChIJZZooM_-McTURqyR96x8ielw,
"308-16 ??3? Buk-gu, Gwangju, South Korea",Shopping mall,https://lh5.googleusercontent.com/p/AF1QipOy5XDNsa7S4Lz915NoYxbxfADPgdb5aUQaI0HZ=w1920-h1080-k-no,35.1656472,126.9325351,+82 62-262-5822,65,https://www.google.com/maps/search/?api=1&query=BYC%EB%91%90%EC%95%94%EC%A0%90%20%EC%9C%A0%EB%8B%88%EB%82%98%ED%99%94%EC%9E%A5%ED%92%88&query_place_id=ChIJBRlhaTaNcTURzKkj13zoBV8,
"South Korea, Gwangju, Buk-gu, Duam-dong, 833-25 1?",Shopping mall,https://lh5.googleusercontent.com/p/AF1QipMFx6g3PSiOO-_yXW9KyxXWafNPksdxWE8HDmbd=w1920-h1080-k-no,35.1747862,126.9129615,,64,https://www.google.com/maps/search/?api=1&query=%EC%A0%9C%EC%9D%B4%EC%97%98%ED%8C%A9%ED%86%A0%EB%A6%AC&query_place_id=ChIJFd9Iw7-NcTURugyGRtEe6lI,http://jlfac.com/
"1?? 268 Jungheung-dong, Buk-gu, Gwangju, South Korea",Shopping mall,,35.1738732,126.9167929,,63,https://www.google.com/maps/search/?api=1&query=(%EC%A3%BC)%EC%98%A4%EC%85%98%ED%8C%8C%ED%81%AC&query_place_id=ChIJT4rW4PuMcTURZAaE1MYtIIA,
"1255-15 ??? Buk-gu, Gwangju, South Korea",Shopping mall,,35.1775699,126.8982968,+82 10-7590-2474,62,https://www.google.com/maps/search/?api=1&query=%EB%AF%BC%EB%93%A4%EB%A0%88%EA%B3%B5%EB%B0%A9%20.%20%EB%AA%B0%20.%20%ED%9E%90%EB%A7%81%EA%B3%B5%EA%B0%84&query_place_id=ChIJSzKQUu6NcTURaG9iLnO2Ujk,
"South Korea, ??? 153-8?? ?? ????? KR",Shopping mall,,35.1630009,126.9008961,,61,https://www.google.com/maps/search/?api=1&query=%EB%A7%8C%EB%8F%84%ED%94%8C%EB%9D%BC%EC%9E%90&query_place_id=ChIJhy59I2aMcTUR9bOsbV3mTRk,
"Gwangju, South Korea",Shopping mall,,35.1614979,126.9067042,,60,https://www.google.com/maps/search/?api=1&query=BOTTICELLI%EC%95%84%EC%9A%B8%EB%A0%9B&query_place_id=ChIJ1WAOJGGMcTURpPR-jp6U8cc,
"Sinan-dong, Buk-gu, Gwangju, South Korea",Shopping mall,https://lh5.googleusercontent.com/p/AF1QipN5UqrmwRp9H5NXBLSPSJtXGLXYF1Cq4lD7ZFsJ=w1920-h1080-k-no,35.164018,126.9075958,+82 62-522-4714,59,https://www.google.com/maps/search/?api=1&query=%EC%82%BC%EC%A0%95%20%EA%B4%91%EC%A3%BC%EB%8C%80%EB%A6%AC%EC%A0%90&query_place_id=ChIJOQ6mJ16McTURb43MjnCEF4U,
"559-3 ??? Buk-gu, Gwangju, South Korea",Shopping mall,,35.1647125,126.9179559,+82 62-511-9732,57,https://www.google.com/maps/search/?api=1&query=%EB%81%8C%EB%A1%9C%EB%93%9C%20365%20%EC%83%81%EC%84%A4%ED%95%A0%EC%9D%B8%EB%A7%A4%EC%9E%A5&query_place_id=ChIJt4Z33vOMcTURgxwcd9lQQa0,
"153-1 Yongbong-dong, Buk-gu, Gwangju, South Korea",Shopping mall,https://lh5.googleusercontent.com/p/AF1QipN5M2K-l3ZjyMi1EHlVkwxfsS1q2RCNfYQWSqOi=w1920-h1080-k-no,35.1772943,126.9136504,+82 62-251-3413,58,https://www.google.com/maps/search/?api=1&query=%EC%8B%A4%EB%B2%84%EB%A3%A8%EC%96%B4%20%EC%9A%A9%EB%B4%89%EC%A0%90&query_place_id=ChIJfbmYH_-McTURlZofK-2RwZA,
"1371-1 ??? Buk-gu, Gwangju, South Korea",Shopping mall,,35.1799048,126.8978185,+82 62-515-8002,56,https://www.google.com/maps/search/?api=1&query=%EC%9A%A9%EB%B4%89LGTNGT&query_place_id=ChIJIYQzWE6McTURo8aLn9h45sY,
"Sinan-dong, Buk-gu, Gwangju, South Korea",Shopping mall,,35.1652218,126.9028739,+82 70-4349-1750,55,https://www.google.com/maps/search/?api=1&query=Iensyab&query_place_id=ChIJR7Y0gmeMcTURSsJagDjcKEQ,
"1409-4 ??? Buk-gu, Gwangju, South Korea",Shopping mall,,35.1754331,126.8960132,+82 62-531-2535,54,https://www.google.com/maps/search/?api=1&query=%EA%B4%91%EC%A3%BC%EC%9A%A9%EB%B4%89PAT&query_place_id=ChIJ7SBZyUWMcTUR0MdZLqr3hbE,http://www.pat.co.kr/
"Gwangju, South Korea",Shopping mall,,35.1671306,126.9352032,,53,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%98%81%EC%A2%85%ED%95%A9%EC%83%81%EA%B0%80&query_place_id=ChIJC8sVtd2McTURFw2MBDKjNaE,
"554-10 ??? Buk-gu, Gwangju, South Korea",Shopping mall,,35.166018,126.9193724,+82 62-529-4936,52,https://www.google.com/maps/search/?api=1&query=FILA&query_place_id=ChIJ3QHFpvGMcTURSFWqd3uqDh4,
"716-26 Jungheung-dong, Buk-gu, Gwangju, South Korea",Shopping mall,https://lh5.googleusercontent.com/p/AF1QipOQaKGVV5hxz3JRTHc88ey2-BTzQjoNx60prYZk=w1920-h1080-k-no,35.1585676,126.9099641,+82 62-512-0409,51,https://www.google.com/maps/search/?api=1&query=(GS)%EA%B8%88%EA%B0%95%EB%AA%85%EC%A1%B0%EC%9C%A4%ED%99%9C%EC%9C%A0&query_place_id=ChIJd6eOuAmNcTURzjaoVipTy7k,
"South Korea, ??? 1401-5?? 3? ?? ????? KR",Shopping mall,,35.1773344,126.8959178,+82 62-522-7111,50,https://www.google.com/maps/search/?api=1&query=Inmodeon&query_place_id=ChIJMdeV9kWMcTURqdWZY17pSOU,
"152-10 Yongbong-dong, Buk-gu, Gwangju, South Korea",Gift shop,https://lh5.googleusercontent.com/p/AF1QipM0aGMpCoVxLakyWDWb2vRUm_PIBIR4xvLomkOg=w1920-h1080-k-no,35.1766966,126.9132166,,49,https://www.google.com/maps/search/?api=1&query=JAEJAEBIRD&query_place_id=ChIJGXr1XXaNcTURAgQiDD_GkOs,
"South Korea, ??? 152-17?? 1? ?? ????? KR",Shopping mall,,35.1765006,126.9129585,+82 70-7755-6337,48,https://www.google.com/maps/search/?api=1&query=Deokala&query_place_id=ChIJA6NKMv-McTURR032src1lTY,
"269 Gyeongyeol-ro, Buk-gu, Gwangju, South Korea",Shopping mall,,35.1631331,126.9077506,+82 1544-7657,47,https://www.google.com/maps/search/?api=1&query=Iensyab&query_place_id=ChIJYaC3j2CMcTURtssGk7IAgoo,http://storefarm.naver.com/enshop
"South Korea, ??? 920?? ?? ???? ? ?? ????? KR",Shopping mall,,35.1808902,126.9245497,,46,https://www.google.com/maps/search/?api=1&query=%EC%83%81%EA%B0%80%EB%B2%88%EC%98%81%ED%9A%8C&query_place_id=ChIJIwl2YhyNcTURpLKQncRa5LQ,
"21 Seoyang-ro, Sinan-dong, Buk-gu, Gwangju, South Korea",Dessert shop,,35.1710166,126.903851,,45,https://www.google.com/maps/search/?api=1&query=%EB%A9%9C%ED%8C%85%EB%B2%84%ED%84%B0&query_place_id=ChIJ4Q4gJ22NcTUROrIW2XMHRjc,
"238-14 Sinan-dong, Buk-gu, Gwangju, South Korea",Shopping mall,https://lh5.googleusercontent.com/p/AF1QipO44CCLemCIvn_gy-xgT0otp7KMG2gUwayAZhwf=w1920-h1080-k-no,35.1681376,126.9029764,+82 62-525-1119,44,https://www.google.com/maps/search/?api=1&query=%EC%9E%90%EA%B0%9C%EB%86%8D%EC%98%B7%EC%B9%A0%EA%B8%88%EC%9E%A5&query_place_id=ChIJy0uDKw6NcTURu1TxHmYLVyg,
